time,price
1615550400,56462
1615554000,56350
1615557600,55697
1615561200,56221
1615564800,56970
1615568400,57360
1615572000,57167
1615575600,57348
1615579200,56968
1615582800,56733
1615586400,56951
1615590000,57187
1615593600,57242
1615597200,56685
1615600800,56392
1615604400,56485
1615608000,56692
1615611600,56892
1615615200,56728
1615618800,56925
1615622400,57344
1615626000,57401
1615629600,57583
1615633200,59422
1615636800,59836
1615640400,59930
1615644000,59959
1615647600,59800
1615651200,59682
1615654800,59842
1615658400,60322
1615662000,60297
1615665600,60799
1615669200,61616
1615672800,61094
1615676400,61062
1615680000,61186
1615683600,61241
1615687200,61074
1615690800,61069
1615694400,61374
1615698000,61203
1615701600,61015
1615705200,60925
1615708800,60489
1615712400,60757
1615716000,60924
1615719600,60275
1615723200,60282
1615726800,60450
1615730400,59940
1615734000,60000
1615737600,59690
1615741200,59540
1615744800,59706
1615748400,60137
1615752000,59932
1615755600,60267
1615759200,60063
1615762800,60210
1615766400,58962
1615770000,59443
1615773600,60056
1615777200,60070
1615780800,60372
1615784400,59757
1615788000,59013
1615791600,58750
1615795200,57853
1615798800,57750
1615802400,55829
1615806000,56350
1615809600,56143
1615813200,56434
1615816800,56875
1615820400,56126
1615824000,56230
1615827600,56300
1615831200,56033
1615834800,56124
1615838400,56594
1615842000,56405
1615845600,56751
1615849200,56104
1615852800,55596
1615856400,54053
1615860000,54486
1615863600,54568
1615867200,54225
1615870800,54390
1615874400,54032
1615878000,55023
1615881600,55235
1615885200,55900
1615888800,55859
1615892400,55791
1615896000,55408
1615899600,55038
1615903200,55282
1615906800,55623
1615910400,55839
1615914000,55646
1615917600,55226
1615921200,55477
1615924800,55740
1615928400,56393
1615932000,56481
1615935600,56432
1615939200,56932
1615942800,56549
1615946400,56289
1615950000,55798
1615953600,55509
1615957200,55573
1615960800,55967
1615964400,56312
1615968000,55819
1615971600,55759
1615975200,54770
1615978800,55073
1615982400,54841
1615986000,55165
1615989600,55109
1615993200,54544
1615996800,54945
1616000400,55282
1616004000,55560
1616007600,57627
1616011200,57899
1616014800,57738
1616018400,58460
1616022000,58329
1616025600,58933
1616029200,58950
1616032800,59063
1616036400,59001
1616040000,58722
1616043600,58804
1616047200,59000
1616050800,58926
1616054400,58349
1616058000,57990
1616061600,58415
1616065200,58512
1616068800,58179
1616072400,58041
1616076000,57850
1616079600,57850
1616083200,59544
